Location,WeekNum,avg_price,median_price,std_price,years_count,avg_norm,risk_norm,HighPriceScore,Label,conf_score,Confidence
Anuradapura,1,61.48777777777778,40.83333333333333,42.067932410030586,18,0.37369844555733506,0.31163486255573625,0.45236511852906724,MODERATE,0.943180130027823,High
Anuradapura,2,61.087645502222216,40.83333333333333,40.25471935010233,18,0.35015122584002606,0.21243891817186825,0.4595036898370525,MODERATE,0.9457229320567232,High
Anuradapura,3,57.99583333314815,40.375,37.89753712774083,18,0.16820244310623464,0.08348390356301444,0.3552808564389224,WEAK,0.9490285820489782,High
Anuradapura,4,57.0262037037037,41.45,36.7516514670752,18,0.11114110783344236,0.02079562231372905,0.3281569252966495,WEAK,0.9506355417864862,High
Anuradapura,5,55.13760942722222,40.0,36.37152610809206,18,0.0,0.0,0.25,WEAK,0.9511686195341708,High
Anuradapura,6,56.179351851851855,40.4,40.08902924406705,18,0.06130507149801223,0.20337446407849055,0.24513518760388653,WEAK,0.9459552914782972,High
Anuradapura,7,55.1575,40.5,37.71476682525037,18,0.0011705321367817744,0.0734850384756519,0.23250663948367337,WEAK,0.9492848942862251,High
Anuradapura,8,55.422685185000006,40.916666665,38.84338565995299,18,0.016776306023180722,0.13522869873925966,0.22877505483257063,WEAK,0.9477021490886748,High
Anuradapura,9,56.65175925925926,41.6,39.424213722093455,18,0.08910558072427113,0.16700421890397474,0.27507813081720967,WEAK,0.946887611179428,High
Anuradapura,10,56.91824074092593,43.133333335,39.497324160441636,18,0.10478763984006434,0.17100389171493124,0.28583975695131547,WEAK,0.9467850830347361,High
Anuradapura,11,57.949000974649124,44.025,39.997688652366016,18,0.16544642490219158,0.19837746926602,0.32449045136013865,WEAK,0.9460833851077945,High
Anuradapura,12,58.5922666551806,43.95833333333333,40.83592936361702,18,0.203301702372743,0.24423533385521418,0.34141744331575374,WEAK,0.9449078585089732,High
Anuradapura,13,59.06868048386022,44.079166666666666,40.7163251495489,18,0.231337983836685,0.2376921132988573,0.36408045955279944,WEAK,0.9450755882947985,High
Anuradapura,14,60.412686905132446,44.0,43.704164654474546,18,0.3104308649576347,0.4011486689064231,0.38253598149162027,WEAK,0.9408855212127459,High
Anuradapura,15,61.11996493115774,44.416666665,44.402228047451935,18,0.35205317862108093,0.4393378144825855,0.4042054303451643,WEAK,0.9399065755768513,High
Anuradapura,16,61.38094666107193,44.166666665,44.269983006276355,18,0.3674115851079366,0.432103048729236,0.4175329266486435,MODERATE,0.9400920325242144,High
Anuradapura,17,62.99628024302316,44.7,46.87162411890692,18,0.46247168671593947,0.5744317429233408,0.4532458293061194,MODERATE,0.9364435598511083,High
Anuradapura,18,63.84241629392501,44.75,48.022887668145316,18,0.5122655991756591,0.6374142337983759,0.4748456409321503,MODERATE,0.9348290583049313,High
Anuradapura,19,63.63892271519722,44.7,47.4606936674608,18,0.5002902892541791,0.6066581323465964,0.47355318385398526,MODERATE,0.9356174642993338,High
Anuradapura,20,64.47950321035833,44.966666665000005,48.66827336696016,18,0.5497572650990071,0.6727215263061377,0.4941375672477209,MODERATE,0.933923986473806,High
Anuradapura,21,63.98341703922314,45.75,47.284514189676834,18,0.5205632940447606,0.5970198333148604,0.4911675122048554,MODERATE,0.9358645337383644,High
Anuradapura,22,64.31640494197683,45.5,48.289103814155354,18,0.5401591621822666,0.6519781935432634,0.4921248232508841,MODERATE,0.9344557238241908,High
Anuradapura,23,65.41497485531255,45.80357142857143,49.729036933394916,18,0.6048084511910689,0.7307530097903009,0.5209180859457264,MODERATE,0.9324363997094461,High
Anuradapura,24,65.63835958346307,45.10714285714286,50.134166419019174,18,0.6179543271840722,0.7529165397208867,0.5252366104578324,MODERATE,0.9318682568360137,High
Anuradapura,25,66.83822579309508,45.98571428571428,52.003036220615776,18,0.6885647602723578,0.8551573127424541,0.5526342420186547,MODERATE,0.9292474032649292,High
Anuradapura,26,66.85327718791227,45.114285714285714,52.78627244493148,18,0.6894505136155998,0.8980060317725966,0.5425863772685507,MODERATE,0.9281490135035091,High
Anuradapura,27,67.9051804345813,44.84285714285714,54.65063087483837,18,0.7513535351508539,0.9999999999452928,0.5635151513768173,MODERATE,0.9255344865607393,High
Anuradapura,28,67.46171331087997,45.02142857142857,54.092009771621726,18,0.725256120777821,0.9694393619756292,0.5515822500894585,MODERATE,0.9263178820182494,High
Anuradapura,29,65.89602396495643,44.9,51.58535837270138,18,0.6331175123980729,0.8323072961130077,0.5167613102703028,MODERATE,0.9298331436296855,High
Anuradapura,30,67.75843681917212,46.0,51.12584992135812,18,0.7427178804805213,0.8071688411841826,0.6052462000643454,MODERATE,0.9304775461261129,High
Anuradapura,31,68.05122004357298,45.1,51.150785078848784,18,0.7599477600370681,0.8085329756868015,0.6178275761061006,MODERATE,0.9304425777208771,High
Anuradapura,32,67.6950526506899,45.25,51.12928707910617,18,0.7389878116182248,0.8073568787162021,0.6024016390346181,MODERATE,0.9304727259470128,High
Anuradapura,33,68.0131445170661,44.8,51.127350468831835,18,0.7577070690374104,0.8072509320465516,0.6164675687664198,MODERATE,0.9304754417980309,High
Anuradapura,34,68.35577342029413,45.975,51.502519471825295,18,0.7778702964466693,0.827775405633215,0.6264588709266983,MODERATE,0.9299493147128719,High
Anuradapura,35,68.19179738562092,46.585,51.02558652875648,18,0.7682205382224367,0.80168370425458,0.6257444776031825,MODERATE,0.9306181528555515,High
Anuradapura,36,68.35763616557735,46.965,50.92224844052154,18,0.7779799163777295,0.7960303591073233,0.6344773475064662,MODERATE,0.9307630714568089,High
Anuradapura,37,68.19541938997821,46.707499999999996,51.036374214271405,18,0.7684336880671971,0.8022738691259999,0.6257567987688979,MODERATE,0.9306030244907604,High
Anuradapura,38,68.4378322440087,47.125,51.243944947040475,18,0.7826993424142014,0.8136294981574245,0.6336171322712949,MODERATE,0.930311932786156,High
Anuradapura,39,68.40367102396515,46.0,51.581240606655435,18,0.7806890028257237,0.8320820243560882,0.6274962460302707,MODERATE,0.9298389182758579,High
Anuradapura,40,68.70329287270464,45.9,50.92663065333865,18,0.7983213257733771,0.7962700980263123,0.6496734698234548,STRONG,0.9307569259574803,High
Anuradapura,41,68.22643323996266,47.25,48.41325684193796,18,0.7702588093695202,0.6587702672996146,0.6630015402022366,STRONG,0.9342816149023456,High
Anuradapura,42,69.22198101462807,47.0,47.41704087856929,18,0.8288453909107765,0.6042700072471363,0.7205665413712983,STRONG,0.9356786818156938,High
Anuradapura,43,69.86456582633053,48.575,47.1890722366172,18,0.8666606002116377,0.5917984642012022,0.7520458341084277,STRONG,0.9359983790085347,High
Anuradapura,44,70.26085434173669,50.4,47.002664869549584,18,0.8899816200687802,0.5816006252240694,0.7720860587455679,STRONG,0.9362597917689305,High
Anuradapura,45,71.23955026473544,49.833333335,47.47596074672369,18,0.9475764939221543,0.6074933526408544,0.8088090322814021,STRONG,0.9355960541512475,High
Anuradapura,46,71.56296296314815,50.783333334999995,46.815665342004934,18,0.966608874797499,0.571370390761241,0.8321140584078139,STRONG,0.9365220349595144,High
Anuradapura,47,71.36870370370372,51.0,46.261827134850144,18,0.955176991533624,0.5410714119987775,0.8311148906505237,STRONG,0.937298723010113,High
Anuradapura,48,71.4238888887037,51.916666665,45.78274082224257,18,0.958424561789062,0.5148619056419387,0.8401029449313119,STRONG,0.937970580981269,High
Anuradapura,49,71.0862962962963,52.0,45.25727805390224,18,0.9385577141639466,0.48611526979642844,0.8323894681738528,STRONG,0.9387074760671119,High
Anuradapura,50,70.73518518537037,53.633333335,44.6746253842756,18,0.9178953208024464,0.45423993032932625,0.8248615080195032,STRONG,0.9395245727576296,High
